layer,accuracy,precision,recall,f1,roc_auc,logloss,conf_matrix,mcfadden_r2,report
0,0.5473325524438292,0.5527444253859348,0.6622482531853678,0.6025617053103964,0.5555464685618782,0.6852591380556097,"[[3835 5215]
 [3287 6445]]",0.9633084746348013,"{'0': {'precision': 0.5384723392305533, 'recall': 0.42375690607734806, 'f1-score': 0.4742765273311897, 'support': 9050.0}, '1': {'precision': 0.5527444253859348, 'recall': 0.6622482531853678, 'f1-score': 0.6025617053103964, 'support': 9732.0}, 'accuracy': 0.5473325524438292, 'macro avg': {'precision': 0.545608382308244, 'recall': 0.543002579631358, 'f1-score': 0.5384191163207931, 'support': 18782.0}, 'weighted avg': {'precision': 0.5458675017512739, 'recall': 0.5473325524438292, 'f1-score': 0.5407482210855098, 'support': 18782.0}}"
1,0.5520711319348313,0.5580699128290922,0.6512535963830661,0.6010716487268244,0.5597690707650106,0.6868874446700545,"[[4031 5019]
 [3394 6338]]",0.9632212885614923,"{'0': {'precision': 0.5428956228956229, 'recall': 0.44541436464088396, 'f1-score': 0.4893474962063733, 'support': 9050.0}, '1': {'precision': 0.5580699128290922, 'recall': 0.6512535963830661, 'f1-score': 0.6010716487268244, 'support': 9732.0}, 'accuracy': 0.5520711319348313, 'macro avg': {'precision': 0.5504827678623576, 'recall': 0.548333980511975, 'f1-score': 0.5452095724665988, 'support': 18782.0}, 'weighted avg': {'precision': 0.5507582674293532, 'recall': 0.5520711319348313, 'f1-score': 0.5472380005365315, 'support': 18782.0}}"
2,0.5471728250452561,0.5540766857646541,0.6459103986847513,0.5964795748920625,0.5547766893065651,0.6887637624385266,"[[3991 5059]
 [3446 6286]]",0.9631208229753048,"{'0': {'precision': 0.536641118730671, 'recall': 0.44099447513812157, 'f1-score': 0.4841390186207315, 'support': 9050.0}, '1': {'precision': 0.5540766857646541, 'recall': 0.6459103986847513, 'f1-score': 0.5964795748920625, 'support': 9732.0}, 'accuracy': 0.5471728250452561, 'macro avg': {'precision': 0.5453589022476626, 'recall': 0.5434524369114364, 'f1-score': 0.5403092967563969, 'support': 18782.0}, 'weighted avg': {'precision': 0.5456754568402824, 'recall': 0.5471728250452561, 'f1-score': 0.5423489160561801, 'support': 18782.0}}"
3,0.5433393674795016,0.5512467832105777,0.6383066173448417,0.5915908766249226,0.5543831819843632,0.6886620193320402,"[[3993 5057]
 [3520 6212]]",0.9631262707096947,"{'0': {'precision': 0.5314787701317716, 'recall': 0.4412154696132597, 'f1-score': 0.4821590291613838, 'support': 9050.0}, '1': {'precision': 0.5512467832105777, 'recall': 0.6383066173448417, 'f1-score': 0.5915908766249226, 'support': 9732.0}, 'accuracy': 0.5433393674795016, 'macro avg': {'precision': 0.5413627766711746, 'recall': 0.5397610434790507, 'f1-score': 0.5368749528931532, 'support': 18782.0}, 'weighted avg': {'precision': 0.5417216784100668, 'recall': 0.5433393674795016, 'f1-score': 0.5388617626037839, 'support': 18782.0}}"
4,0.5429666702161644,0.5510312944523471,0.6368680641183724,0.5908484270734032,0.5523553896356044,0.6891192351416311,"[[4000 5050]
 [3534 6198]]",0.9631017895396623,"{'0': {'precision': 0.5309264666843642, 'recall': 0.4419889502762431, 'f1-score': 0.482392667631452, 'support': 9050.0}, '1': {'precision': 0.5510312944523471, 'recall': 0.6368680641183724, 'f1-score': 0.5908484270734032, 'support': 9732.0}, 'accuracy': 0.5429666702161644, 'macro avg': {'precision': 0.5409788805683556, 'recall': 0.5394285071973077, 'f1-score': 0.5366205473524276, 'support': 18782.0}, 'weighted avg': {'precision': 0.5413438974072909, 'recall': 0.5429666702161644, 'f1-score': 0.5385896355203387, 'support': 18782.0}}"
5,0.5495154935576616,0.5565240594147469,0.6429305384299219,0.5966150178784267,0.5575948797950827,0.6877839046162139,"[[4064 4986]
 [3475 6257]]",0.963173288496952,"{'0': {'precision': 0.539063536278021, 'recall': 0.449060773480663, 'f1-score': 0.48996322864548797, 'support': 9050.0}, '1': {'precision': 0.5565240594147469, 'recall': 0.6429305384299219, 'f1-score': 0.5966150178784267, 'support': 9732.0}, 'accuracy': 0.5495154935576616, 'macro avg': {'precision': 0.5477937978463839, 'recall': 0.5459956559552924, 'f1-score': 0.5432891232619573, 'support': 18782.0}, 'weighted avg': {'precision': 0.5481108055340435, 'recall': 0.5495154935576616, 'f1-score': 0.5452254591222722, 'support': 18782.0}}"
6,0.5464274305185817,0.5541179619880432,0.6381011097410604,0.5931515354123884,0.5560726588596485,0.6882279773783043,"[[4053 4997]
 [3522 6210]]",0.9631495110584484,"{'0': {'precision': 0.5350495049504951, 'recall': 0.4478453038674033, 'f1-score': 0.48757894736842106, 'support': 9050.0}, '1': {'precision': 0.5541179619880432, 'recall': 0.6381011097410604, 'f1-score': 0.5931515354123884, 'support': 9732.0}, 'accuracy': 0.5464274305185817, 'macro avg': {'precision': 0.5445837334692691, 'recall': 0.5429732068042319, 'f1-score': 0.5403652413904048, 'support': 18782.0}, 'weighted avg': {'precision': 0.5449299342918548, 'recall': 0.5464274305185817, 'f1-score': 0.5422819836182288, 'support': 18782.0}}"
7,0.547013097646683,0.554535733380859,0.6394369091656391,0.5939677388565429,0.5548020201056831,0.6887283467047736,"[[4051 4999]
 [3509 6223]]",0.9631227192758737,"{'0': {'precision': 0.5358465608465608, 'recall': 0.4476243093922652, 'f1-score': 0.48777844671884407, 'support': 9050.0}, '1': {'precision': 0.554535733380859, 'recall': 0.6394369091656391, 'f1-score': 0.5939677388565429, 'support': 9732.0}, 'accuracy': 0.547013097646683, 'macro avg': {'precision': 0.5451911471137099, 'recall': 0.5435306092789521, 'f1-score': 0.5408730927876935, 'support': 18782.0}, 'weighted avg': {'precision': 0.5455304617678572, 'recall': 0.547013097646683, 'f1-score': 0.542801031698297, 'support': 18782.0}}"
8,0.5512192524757746,0.5581333095386812,0.6427250308261405,0.5974497349443622,0.5546375118365567,0.6885940892503387,"[[4098 4952]
 [3477 6255]]",0.9631299079589882,"{'0': {'precision': 0.540990099009901, 'recall': 0.45281767955801105, 'f1-score': 0.49299248120300754, 'support': 9050.0}, '1': {'precision': 0.5581333095386812, 'recall': 0.6427250308261405, 'f1-score': 0.5974497349443622, 'support': 9732.0}, 'accuracy': 0.5512192524757746, 'macro avg': {'precision': 0.5495617042742911, 'recall': 0.5477713551920758, 'f1-score': 0.5452211080736848, 'support': 18782.0}, 'weighted avg': {'precision': 0.5498729509354727, 'recall': 0.5512192524757746, 'f1-score': 0.5471176006477346, 'support': 18782.0}}"
9,0.5478117346395485,0.5550324242693435,0.6420057542129058,0.5953594740101958,0.5545342243961369,0.688291176234044,"[[4041 5009]
 [3484 6248]]",0.9631461271379872,"{'0': {'precision': 0.5370099667774086, 'recall': 0.4465193370165746, 'f1-score': 0.4876018099547511, 'support': 9050.0}, '1': {'precision': 0.5550324242693435, 'recall': 0.6420057542129058, 'f1-score': 0.5953594740101958, 'support': 9732.0}, 'accuracy': 0.5478117346395485, 'macro avg': {'precision': 0.546021195523376, 'recall': 0.5442625456147402, 'f1-score': 0.5414806419824735, 'support': 18782.0}, 'weighted avg': {'precision': 0.5463484055119157, 'recall': 0.5478117346395485, 'f1-score': 0.5434370557532596, 'support': 18782.0}}"
10,0.5523905867319774,0.5589885139346452,0.645088368269626,0.5989600725087059,0.5578156244819733,0.686989163068002,"[[4097 4953]
 [3454 6278]]",0.9632158421500967,"{'0': {'precision': 0.5425771421003841, 'recall': 0.452707182320442, 'f1-score': 0.49358472381181856, 'support': 9050.0}, '1': {'precision': 0.5589885139346452, 'recall': 0.645088368269626, 'f1-score': 0.5989600725087059, 'support': 9732.0}, 'accuracy': 0.5523905867319774, 'macro avg': {'precision': 0.5507828280175147, 'recall': 0.548897775295034, 'f1-score': 0.5462723981602622, 'support': 18782.0}, 'weighted avg': {'precision': 0.5510807876488363, 'recall': 0.5523905867319774, 'f1-score': 0.5481855593734258, 'support': 18782.0}}"
11,0.5512724949419657,0.5584963215503319,0.6396424167694205,0.5963214867324457,0.5625267897895647,0.685177296757421,"[[4129 4921]
 [3507 6225]]",0.963312856746475,"{'0': {'precision': 0.5407281299109481, 'recall': 0.45624309392265194, 'f1-score': 0.49490590914539134, 'support': 9050.0}, '1': {'precision': 0.5584963215503319, 'recall': 0.6396424167694205, 'f1-score': 0.5963214867324457, 'support': 9732.0}, 'accuracy': 0.5512724949419657, 'macro avg': {'precision': 0.54961222573064, 'recall': 0.5479427553460362, 'f1-score': 0.5456136979389186, 'support': 18782.0}, 'weighted avg': {'precision': 0.5499348193494787, 'recall': 0.5512724949419657, 'f1-score': 0.5474549668110932, 'support': 18782.0}}"
12,0.5520711319348313,0.5593876632147681,0.6383066173448417,0.596247060517349,0.5665337793188956,0.6843923789004402,"[[4157 4893]
 [3520 6212]]",0.9633548843997519,"{'0': {'precision': 0.5414875602448873, 'recall': 0.45933701657458564, 'f1-score': 0.49704071262031446, 'support': 9050.0}, '1': {'precision': 0.5593876632147681, 'recall': 0.6383066173448417, 'f1-score': 0.596247060517349, 'support': 9732.0}, 'accuracy': 0.5520711319348313, 'macro avg': {'precision': 0.5504376117298277, 'recall': 0.5488218169597137, 'f1-score': 0.5466438865688317, 'support': 18782.0}, 'weighted avg': {'precision': 0.5507626002886995, 'recall': 0.5520711319348313, 'f1-score': 0.5484450453715626, 'support': 18782.0}}"
13,0.5474922798424023,0.5556558635009479,0.6324496506370736,0.5915709548752943,0.5662597161951346,0.683591318514844,"[[4128 4922]
 [3577 6155]]",0.9633977763888183,"{'0': {'precision': 0.5357560025957171, 'recall': 0.4561325966850829, 'f1-score': 0.4927484333034915, 'support': 9050.0}, '1': {'precision': 0.5556558635009479, 'recall': 0.6324496506370736, 'f1-score': 0.5915709548752943, 'support': 9732.0}, 'accuracy': 0.5474922798424023, 'macro avg': {'precision': 0.5457059330483325, 'recall': 0.5442911236610782, 'f1-score': 0.5421596940893929, 'support': 18782.0}, 'weighted avg': {'precision': 0.5460672285742979, 'recall': 0.5474922798424023, 'f1-score': 0.5439538842638144, 'support': 18782.0}}"
14,0.5464806729847727,0.5550816696914701,0.6285450061652281,0.5895335389360061,0.5640294364095891,0.6845248368419623,"[[4147 4903]
 [3615 6117]]",0.9633477920697832,"{'0': {'precision': 0.5342695181654212, 'recall': 0.458232044198895, 'f1-score': 0.4933380918391625, 'support': 9050.0}, '1': {'precision': 0.5550816696914701, 'recall': 0.6285450061652281, 'f1-score': 0.5895335389360061, 'support': 9732.0}, 'accuracy': 0.5464806729847727, 'macro avg': {'precision': 0.5446755939284457, 'recall': 0.5433885251820616, 'f1-score': 0.5414358153875843, 'support': 18782.0}, 'weighted avg': {'precision': 0.5450534527118758, 'recall': 0.5464806729847727, 'f1-score': 0.543182309235951, 'support': 18782.0}}"
15,0.5400383345756575,0.5499406012976332,0.6183723797780518,0.5821523579201935,0.5588018679619322,0.6857505785601109,"[[4125 4925]
 [3714 6018]]",0.9632821609372013,"{'0': {'precision': 0.5262150784538844, 'recall': 0.4558011049723757, 'f1-score': 0.4884836283971816, 'support': 9050.0}, '1': {'precision': 0.5499406012976332, 'recall': 0.6183723797780518, 'f1-score': 0.5821523579201935, 'support': 9732.0}, 'accuracy': 0.5400383345756575, 'macro avg': {'precision': 0.5380778398757589, 'recall': 0.5370867423752137, 'f1-score': 0.5353179931586876, 'support': 18782.0}, 'weighted avg': {'precision': 0.5385085928993835, 'recall': 0.5400383345756575, 'f1-score': 0.5370186127288796, 'support': 18782.0}}"
16,0.5403045469066127,0.5496203904555315,0.624845869297164,0.5848240046162724,0.5542198999484528,0.6878208000147495,"[[4067 4983]
 [3651 6081]]",0.9631713129691903,"{'0': {'precision': 0.5269499870432754, 'recall': 0.44939226519337017, 'f1-score': 0.48509064885496184, 'support': 9050.0}, '1': {'precision': 0.5496203904555315, 'recall': 0.624845869297164, 'f1-score': 0.5848240046162724, 'support': 9732.0}, 'accuracy': 0.5403045469066127, 'macro avg': {'precision': 0.5382851887494035, 'recall': 0.537119067245267, 'f1-score': 0.5349573267356171, 'support': 18782.0}, 'weighted avg': {'precision': 0.5386967853612435, 'recall': 0.5403045469066127, 'f1-score': 0.536768053725001, 'support': 18782.0}}"
17,0.5378021509956341,0.5472869612165931,0.6249486230990546,0.5835452146797794,0.5492419721463395,0.689603597776122,"[[4019 5031]
 [3650 6082]]",0.9630758548196383,"{'0': {'precision': 0.5240578954231321, 'recall': 0.44408839779005527, 'f1-score': 0.48077038100364855, 'support': 9050.0}, '1': {'precision': 0.5472869612165931, 'recall': 0.6249486230990546, 'f1-score': 0.5835452146797794, 'support': 9732.0}, 'accuracy': 0.5378021509956341, 'macro avg': {'precision': 0.5356724283198626, 'recall': 0.5345185104445549, 'f1-score': 0.532157797841714, 'support': 18782.0}, 'weighted avg': {'precision': 0.5360941678276663, 'recall': 0.5378021509956341, 'f1-score': 0.5340237449338001, 'support': 18782.0}}"
18,0.5346608454903631,0.5446525027007562,0.6216605014385532,0.5806142034548945,0.5474516489430551,0.6902393399141443,"[[3992 5058]
 [3682 6050]]",0.963041814633251,"{'0': {'precision': 0.5201980714099557, 'recall': 0.44110497237569063, 'f1-score': 0.4773977517340349, 'support': 9050.0}, '1': {'precision': 0.5446525027007562, 'recall': 0.6216605014385532, 'f1-score': 0.5806142034548945, 'support': 9732.0}, 'accuracy': 0.5346608454903631, 'macro avg': {'precision': 0.5324252870553559, 'recall': 0.5313827369071219, 'f1-score': 0.5290059775944647, 'support': 18782.0}, 'weighted avg': {'precision': 0.5328692739082024, 'recall': 0.5346608454903631, 'f1-score': 0.530879942562882, 'support': 18782.0}}"
19,0.5349803002875093,0.5445774522065392,0.6263871763255241,0.5826244862850043,0.5460126302021241,0.6912061432304261,"[[3952 5098]
 [3636 6096]]",0.9629900481022666,"{'0': {'precision': 0.5208223510806537, 'recall': 0.4366850828729282, 'f1-score': 0.47505709820891934, 'support': 9050.0}, '1': {'precision': 0.5445774522065392, 'recall': 0.6263871763255241, 'f1-score': 0.5826244862850043, 'support': 9732.0}, 'accuracy': 0.5349803002875093, 'macro avg': {'precision': 0.5326999016435965, 'recall': 0.5315361295992261, 'f1-score': 0.5288407922469618, 'support': 18782.0}, 'weighted avg': {'precision': 0.5331311916810753, 'recall': 0.5349803002875093, 'f1-score': 0.5307937514277704, 'support': 18782.0}}"
20,0.5315727824512831,0.5414153955303299,0.6273119605425401,0.5812071591774562,0.5410542085913532,0.6923477444378087,"[[3879 5171]
 [3627 6105]]",0.9629289221904306,"{'0': {'precision': 0.5167865707434053, 'recall': 0.42861878453038676, 'f1-score': 0.4685914472094709, 'support': 9050.0}, '1': {'precision': 0.5414153955303299, 'recall': 0.6273119605425401, 'f1-score': 0.5812071591774562, 'support': 9732.0}, 'accuracy': 0.5315727824512831, 'macro avg': {'precision': 0.5291009831368676, 'recall': 0.5279653725364635, 'f1-score': 0.5248993031934636, 'support': 18782.0}, 'weighted avg': {'precision': 0.5295481362223932, 'recall': 0.5315727824512831, 'f1-score': 0.5269439181322924, 'support': 18782.0}}"
21,0.5351400276860824,0.5444217626697435,0.6302918207973695,0.5842182961093385,0.5454448842231472,0.6905659207531186,"[[3917 5133]
 [3598 6134]]",0.9630243281840064,"{'0': {'precision': 0.5212242182302063, 'recall': 0.43281767955801104, 'f1-score': 0.47292484153335346, 'support': 9050.0}, '1': {'precision': 0.5444217626697435, 'recall': 0.6302918207973695, 'f1-score': 0.5842182961093385, 'support': 9732.0}, 'accuracy': 0.5351400276860824, 'macro avg': {'precision': 0.5328229904499748, 'recall': 0.5315547501776903, 'f1-score': 0.5285715688213459, 'support': 18782.0}, 'weighted avg': {'precision': 0.533244157666133, 'recall': 0.5351400276860824, 'f1-score': 0.5305921772768039, 'support': 18782.0}}"
22,0.5331700564370142,0.5426171529619805,0.6306000822030415,0.5833095713335235,0.5423121762687539,0.6913315222137832,"[[3877 5173]
 [3595 6137]]",0.9629833348081379,"{'0': {'precision': 0.5188704496788008, 'recall': 0.42839779005524864, 'f1-score': 0.46931364241617235, 'support': 9050.0}, '1': {'precision': 0.5426171529619805, 'recall': 0.6306000822030415, 'f1-score': 0.5833095713335235, 'support': 9732.0}, 'accuracy': 0.5331700564370142, 'macro avg': {'precision': 0.5307438013203907, 'recall': 0.5294989361291451, 'f1-score': 0.5263116068748479, 'support': 18782.0}, 'weighted avg': {'precision': 0.5311749388893164, 'recall': 0.5331700564370142, 'f1-score': 0.5283812805922804, 'support': 18782.0}}"
23,0.5395059099137473,0.5475960270721631,0.6401561857788738,0.5902695532711166,0.5463044850615273,0.6900894782907132,"[[3903 5147]
 [3502 6230]]",0.9630498388262199,"{'0': {'precision': 0.5270762997974342, 'recall': 0.4312707182320442, 'f1-score': 0.4743846855059253, 'support': 9050.0}, '1': {'precision': 0.5475960270721631, 'recall': 0.6401561857788738, 'f1-score': 0.5902695532711166, 'support': 9732.0}, 'accuracy': 0.5395059099137473, 'macro avg': {'precision': 0.5373361634347986, 'recall': 0.535713452005459, 'f1-score': 0.532327119388521, 'support': 18782.0}, 'weighted avg': {'precision': 0.5377087130568134, 'recall': 0.5395059099137473, 'f1-score': 0.5344310880770489, 'support': 18782.0}}"
24,0.5404642743051858,0.5482429234948734,0.6428277846280313,0.5917797852717211,0.5450650017144557,0.6916630699704909,"[[3895 5155]
 [3476 6256]]",0.9629655824101772,"{'0': {'precision': 0.5284221950888618, 'recall': 0.4303867403314917, 'f1-score': 0.4743925461299556, 'support': 9050.0}, '1': {'precision': 0.5482429234948734, 'recall': 0.6428277846280313, 'f1-score': 0.5917797852717211, 'support': 9732.0}, 'accuracy': 0.5404642743051858, 'macro avg': {'precision': 0.5383325592918675, 'recall': 0.5366072624797615, 'f1-score': 0.5330861657008383, 'support': 18782.0}, 'weighted avg': {'precision': 0.5386924181134228, 'recall': 0.5404642743051858, 'f1-score': 0.5352174109647795, 'support': 18782.0}}"
